concedente,tipo_vaga,vaga,tipo_cota,no_salario_inicio,no_salario_limite,carga_horaria,dt_vigencia_inicio,dt_vigencia_limite,cidade,no_qtd_vagas,qt_candidatos,qt_contratados,status_salario,salario_usd,ano_vigencia,mes_vigencia
LARAMED,ESTÁGIO NÃO REMUNERADO,AUXILIAR ADMINISTRATIVO,AMPLA CONCORRÊNCIA,,,20,,,ITUIUTABA,1,2,0,Baixo,,,
LOCAMIL,EMPREGO,VAGA PARA AUXILIAR DE MECÂNICO ,AMPLA CONCORRÊNCIA,1300.0,2300.0,40,2023-09-12,10/10/2023,PARACATU,4,0,0,Alto,260.0,2023.0,9.0
LONGPING HIGH TECH,ESTÁGIO REMUNERADO,"ESTÁGIO EM TECNOLOGIA DA INFORMAÇÃO - HELPDESK, INFRAESTRUTURA E NETWORK",AMPLA CONCORRÊNCIA,1560.0,1560.0,30,2023-04-01,01/04/2025,PARACATU,1,4,0,Alto,312.0,2023.0,4.0
LONGPING HIGH TECH,ESTÁGIO REMUNERADO,"ESTÁGIO EM TECNOLOGIA DA INFORMAÇÃO - HELPDESK, INFRAESTRUTURA E NETWORK",AMPLA CONCORRÊNCIA,1560.0,1560.0,30,2023-04-01,01/04/2025,PRIMAVERA DO LESTE,1,1,0,Alto,312.0,2023.0,4.0
MÁRCIO VIEIRA RIBEIRO,EMPREGO,OPERADOR AGRÍCOLA,AMPLA CONCORRÊNCIA,3000.0,4000.0,44,2024-03-05,04/03/2025,UBERABA,1,0,0,Alto,600.0,2024.0,3.0
MMARAÚJO CONSULTORIA EMPRESARIAL,EMPREGO,ENCARREGADO ADMINISTRATIVO E DE ESCRITURAÇÃO ZOOTÉCNICA.,AMPLA CONCORRÊNCIA,2000.0,2500.0,40,,,SANTA VITÓRIA,1,21,0,Alto,400.0,,
MUNICÍPIO DE IPIAÇU,ESTÁGIO NÃO REMUNERADO,COORDENADORIA VIGILÂNCIA SANITÁRIA,AMPLA CONCORRÊNCIA,,,30,2022-06-07,30/12/2022,IPIAÇU,1,0,0,Baixo,,2022.0,6.0
OUTLET DAS TINTAS,EMPREGO,VAGA PARA VENDEDOR,AMPLA CONCORRÊNCIA,0.0,0.0,8,,,PARACATU,1,25,0,Baixo,0.0,,
RAÇÕES NUTTRIMAIS,EMPREGO,AUXILIAR DE PRODUÇÃO,AMPLA CONCORRÊNCIA,1700.0,1725.22,44,2023-08-23,30/09/2023,UBERLÂNDIA,1,0,0,Alto,340.0,2023.0,8.0
RAÇÕES NUTTRIMAIS,EMPREGO,OPERADOR DE PAINEL,AMPLA CONCORRÊNCIA,2300.0,2305.0,44,2023-08-23,30/09/2023,UBERLÂNDIA,1,0,0,Alto,460.0,2023.0,8.0
RAÇÕES NUTTRIMAIS,EMPREGO,ASSISTENTE DE CONTROLE DE QUALIDADE,AMPLA CONCORRÊNCIA,2000.0,2193.0,44,2023-08-23,30/09/2023,UBERLÂNDIA,1,1,0,Alto,400.0,2023.0,8.0
REINALDO SOUSA CARVALHO NETO,ESTÁGIO NÃO REMUNERADO,ESTAGIO PARA O CURSO DE ZOOTECNIA E AGRONOMIA,AMPLA CONCORRÊNCIA,,,40,2021-08-01,31/12/2021,UBERABA,2,0,0,Baixo,,2021.0,8.0
